participant,age:1,gender:1,gender:other,education:1,bfi:1,bfi:2,bfi:3,bfi:4,bfi:5,bfi:6,bfi:7,bfi:8,bfi:9,bfi:10,bfi:11,bfi:12,bfi:13,bfi:14,bfi:15,openness:1,conscientiousness:1,extroversion:1,agreeableness:1,neuroticism:1,feedback:1,SART:1,TIME_start,TIME_end,TIME_total
s.6632c60b-7a46-419c-a8f7-a23d2dd18294.txt,24,1,,4,3,3,2,7,6,5,3,5,4,6,6,6,4,1,4,4,3,6,6,2.67,1,,2021-10-27-11-02,,
s.0586c08c-5859-408d-b688-7ae58753f134.txt,25,2,,4,5,2,2,7,7,4,7,7,7,6,7,7,6,4,6,7,5.33,6,6.67,3,1,sart_psych.2021-10-27-1106.data.0586c08c-5859-408d-b688-7ae58753f134.txt,2021-10-27-10-55,2021-10-27-11-06,11
s.f1f4a330-e6af-4faa-87c3-71c5d270a3cd.txt,22,2,,4,3,3,3,6,6,3,5,5,7,4,6,6,2,3,5,5.67,3.33,5,5.33,3,1,,2021-10-27-10-55,,
s.e48480c1-c5b2-40b7-b36a-66406ac1f349.txt,27,1,,4,6,6,2,5,2,2,6,2,6,6,7,7,7,6,6,4.67,6.33,3,6.67,4.67,1,sart_psych.2021-10-27-1103.data.e48480c1-c5b2-40b7-b36a-66406ac1f349.txt,2021-10-27-10-54,2021-10-27-11-03,9
s.095d994b-e57e-49a1-a9a7-13bf65619b61.txt,23,1,,5,1,2,4,1,3,7,4,5,6,6,7,6,6,6,6,5,6,3.67,6.33,2.33,1,,2021-10-27-10-54,,
s.c13fe347-9e78-458b-8355-639e291dd038.txt,23,2,,5,6,6,3,5,4,2,7,7,7,2,3,6,6,3,6,7,5,3.67,3.67,5,1,,2021-10-27-10-54,,
s.136f3554-c513-47d8-8a65-89dffe08dcef.txt,22,2,,4,2,4,2,5,1,1,4,5,6,1,5,7,2,2,4,5,2.67,2.33,4.33,2.67,1,,2021-10-27-10-55,,
s.a010fa36-9cf3-401b-9c46-7bdada85b9a5.txt,17,2,,3,4,6,5,6,7,3,6,6,7,2,7,5,6,2,6,6.33,4.67,5.33,4.67,5,1,,2021-10-27-11-40,,
s.c60bf128-6745-4307-9ac0-19f251bd6740.txt,21,2,,4,5,6,7,2,6,4,4,5,6,3,7,5,6,3,4,5,4.33,4,5,6,1,sart_psych.2021-10-27-1108.data.c60bf128-6745-4307-9ac0-19f251bd6740.txt,2021-10-27-10-56,2021-10-27-11-08,12
s.a4cd6f19-e821-4a1c-ac37-171ed7ea15f3.txt,23,2,,4,7,5,4,3,6,3,6,6,6,3,7,7,7,3,6,6,5.33,4,5.67,5.33,1,,2021-10-27-20-01,,
s.fdd34a39-ba31-450d-ba80-47abfce233aa.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-27-11-01,,
