participant,age,gender,education,bfi,openness,conscientiousness,extroversion,agreeableness,neuroticism,feedback,SART,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.6632c60b-7a46-419c-a8f7-a23d2dd18294.txt,4778,1326,2309,43189,"","","","","",7902,"",0,2021-10-27-11-02,"",""
s.0586c08c-5859-408d-b688-7ae58753f134.txt,13780,2956,8370,113733,"","","","","",29260,"",0,2021-10-27-10-55,2021-10-27-11-06,11
s.f1f4a330-e6af-4faa-87c3-71c5d270a3cd.txt,5788,3747,8114,88218,"","","","","",81273,"",0,2021-10-27-10-55,"",""
s.e48480c1-c5b2-40b7-b36a-66406ac1f349.txt,4270,4000,8178,65664,"","","","","",18759,"",0,2021-10-27-10-54,2021-10-27-11-03,9
s.095d994b-e57e-49a1-a9a7-13bf65619b61.txt,5043,2002,4107,88345,"","","","","",40592,"",0,2021-10-27-10-54,"",""
s.c13fe347-9e78-458b-8355-639e291dd038.txt,9616,2775,4621,99197,"","","","","",23090,"",0,2021-10-27-10-54,"",""
s.136f3554-c513-47d8-8a65-89dffe08dcef.txt,7158,2549,6703,136968,"","","","","",9534,"",0,2021-10-27-10-55,"",""
s.a010fa36-9cf3-401b-9c46-7bdada85b9a5.txt,4536,2328,3637,158428,"","","","","",16418,"",0,2021-10-27-11-40,"",""
s.c60bf128-6745-4307-9ac0-19f251bd6740.txt,3931,4397,3046,182514,"","","","","",27746,"",0,2021-10-27-10-56,2021-10-27-11-08,12
s.a4cd6f19-e821-4a1c-ac37-171ed7ea15f3.txt,9303,3644,8687,134950,"","","","","",36533,"",0,2021-10-27-20-01,"",""
s.fdd34a39-ba31-450d-ba80-47abfce233aa.txt,"","","","","","","","","","","",0,2021-10-27-11-01,"",""
s.27ccadf9-e714-4d77-9a3a-2d6c9d2f334c.txt,5984,4182,6228,123691,"","","","","",23601,"",0,2021-10-27-10-54,2021-10-27-11-05,11
s.fe0d800a-b557-42c1-950a-fa787ead835b.txt,13387,8206,7094,105036,"","","","","",36514,"",0,2021-10-27-10-55,2021-10-27-11-05,10
s.3c16804a-79f8-4bcc-9956-cdf237d35c01.txt,2811,5126,5389,232542,"","","","","",11079,"",0,2021-10-27-10-54,"",""
s.8f7a75fa-91d7-41c3-968f-b28f5eff2993.txt,4744,3789,4113,14668,"","","","","",4141,"",0,2021-10-26-13-16,"",""
s.a52d5052-693b-4409-98ce-71223cae48b3.txt,19938,4930,17502,147010,"","","","","",24099,"",0,2021-10-27-11-41,2021-10-27-11-52,11
s.5abb9c19-4c0c-4ded-86a6-70c99f42b3fa.txt,35720,8595,9839,136243,"","","","","",28518,"",0,2021-10-27-11-25,2021-10-27-11-38,13
s.3cad5b69-fbe1-4bd9-b077-fe0f72d6d36a.txt,7919,4378,10565,121762,"","","","","",23918,"",0,2021-10-27-10-55,2021-10-27-11-05,10
s.f2896dfc-586b-4fa5-9c4e-62576b7de3fd.txt,3802,2183,2343,51130,"","","","","",2914,"",0,2021-10-27-11-03,"",""
s.a2d1576d-b269-4992-8d42-79b7c794e787.txt,3432,1632,1834,34003,"","","","","",9240,"",0,2021-10-27-11-09,2021-10-27-11-16,7
s.4d6c2594-f891-466e-b117-ad9ea485c726.txt,2728,2477,1848,42884,"","","","","",14595,"",0,2021-10-27-11-05,"",""
s.07afd402-15af-4a90-8d8c-23f1c5acd1a4.txt,4077,2329,6675,68864,"","","","","",20418,"",0,2021-10-27-10-54,"",""
