,openness:1,conscientiousness:1,extroversion:1,agreeableness:1,neuroticism:1,ResponseTime,Correctness
0,7.0,5.33,6.0,6.67,3.0,177.10743801652893,93.38842975206612
1,4.67,6.33,3.0,6.67,4.67,285.29338842975204,95.86776859504133
2,6.67,4.67,4.0,5.33,3.0,198.81404958677686,95.04132231404958
3,5.0,4.33,4.0,5.0,6.0,216.06198347107437,94.21487603305785
4,6.67,5.0,5.67,5.33,1.33,372.995867768595,96.69421487603306
5,6.0,3.67,4.33,4.33,5.67,282.43801652892563,89.6694214876033
6,5.33,3.67,3.67,6.33,4.0,371.6900826446281,97.10743801652893
7,5.0,3.33,1.33,4.33,2.33,458.702479338843,97.52066115702479
8,6.33,3.33,4.0,4.33,5.0,376.06198347107437,97.52066115702479
9,5.33,5.33,6.0,6.0,3.0,244.6198347107438,95.86776859504133
10,7.0,5.33,5.0,5.33,5.0,191.62809917355372,93.38842975206612
11,5.33,4.33,4.0,5.0,4.67,265.81404958677683,95.04132231404958
12,5.67,3.67,6.33,6.33,3.67,177.4214876033058,95.86776859504133
13,5.33,2.0,4.67,5.33,2.0,229.23553719008265,94.62809917355372
14,6.0,5.0,2.33,3.67,3.0,171.9793388429752,93.38842975206612
15,4.67,3.0,6.0,6.0,2.67,155.75619834710744,95.45454545454545
16,5.33,2.67,3.67,6.0,4.0,281.6198347107438,92.56198347107438
